Pali Canon,Cânone Pālī
Gandhabba,Gandhabba
Ganthā,Ganthā
garuka kamma,Garuka Kamma
Gathi,Gathi
gati,Gati
Gati,Gati
samsaric gati,Gati do saṃsāra
gati nimitta,Gati Nimitta
bad gati,Gati ruins
gatiyo,gatiyo
ghāna indriya,Ghāna Indriya
ghāna viññāṇa,Ghāna Viññāṇa
gotrabhū,Gotrabhū
hadaya vatthu,Hadaya Vatthu
Hadaya Vatthu,Hadaya Vatthu
Helabasa,Helabasa
hetu paccaya,Hetu Paccaya
Hiri,Hiri
Ichcha,Ichcha
idaṃ,idaṃ
idappaccayātā,Idappaccayātā
Idappaccayātā,Idappaccayātā
iddhi,Iddhi
iddhipāda,Iddhipāda
iddhividha,Iddhividha
imaṃ,imaṃ
imesaṃ,imesaṃ
indriya,Indriya
Indriya,Indriya
indriya saṃvara,Indriya Saṃvara
indriyāni,indriyāni
issā,Issā
Issā,Issā
jarā,Jarā
jāti,Jāti
Jāti,Jāti
jātī,jātī
jāti paccayā jarā maraṇa,Jāti Paccayā Jarā Maraṇa
javana,Javana
Javana,Javana
jhana,Jhāna
jhāna,Jhāna
Jhāna,Jhāna
jhānic,Jhāna
Jhānic,Jhāna
jhānaṃ,jhānaṃ
jhānaṅga,Jhānaṅga
jhānāni,jhānāni
jhāne,jhāne
jivhā indriya,Jivhā Indriya
jivhā viññāṇa,Jivhā Viññāṇa
Jīvita,Jīvita
Jīvitindriya,Jīvitindriya
kalyāṇa,Kalyāṇa
Kalyāṇa,Kalyāṇa
kaṃ,kaṃ
kāma,Kāma
Kāma,Kāma
kāmā,Kāmā
kāma bhūmi,Kāma Bhūmi
kāma loka,Kāma Loka
kāma rāga,Kāma Rāga
Kāmaccanda,Kāmaccanda
kāmāvacara,Kāmāvacara
Kāmāvacara,Kāmāvacara
kāmāvacara citta,Kāmāvacara Citta
kāme,kāme
kāmesu,kāmesu
kamma,Kamma
Kamma,Kamma
kammic,Kamma
Kammic,Kamma
kammā,kammā
kamma bīja,Kamma Bīja
Kamma Patha,Kamma Patha
kamma phala,Kamma Phala
kamma vipāka,Kamma Vipāka
Kamma Vipāka,Kamma Vipāka
Kammabhava,Kammabhava
kammaja rūpa,Kammaja Rūpa
Kammaja Rūpa,Kammaja Rūpa
kammāni,kammāni
kaṇhadhamma,Kaṇhadhamma
karma,Karma
Karma,Karma
karuṇā,Karuṇā
Karuṇā,Karuṇā
Kasina,Kasiṇa
kasmā,kasmā
kataṭṭhā kamma,Kataṭṭhā Kamma
kāya,Kāya
Kāya,Kāya
kāya dvāra,Kāya Dvāra
kāya indriya,Kāya Indriya
kāya saṅvara,Kāya Saṅvara
kāya viññāṇa,Kāya Viññāṇa
kāyagatā sati,Kāyagatā Sati
Kāyagatāsati,Kāyagatāsati
kāyānupassanā,Kāyānupassanā
kāyānupassī,kāyānupassī
kāyasaṅkhāra,Kāyasaṅkhāra
kāye,kāye
kāyena,kāyena
kāyo,kāyo
khandha,Khandha
Khandha,Khandha
khandhā,Khandhā
khandhas,Khandhā
Khandhas,Khandhā
Khanti,Khanti
khaya,Khaya
Khaya,Khaya
khayaṭṭhena,khayaṭṭhena
khayo,khayo
kilesa,Kilesa
Kilesa,Kilesa
kilesas,Kilesā
kilesā,kilesā
kiṃ,kiṃ
kiriyā citta,Kiriyā Citta
kukkucca,Kukkucca
Kukkucca,Kukkucca
kusala,Kusala
Kusala,Kusala
kusalā,kusalā
kusala kamma,Kusala Kamma
Kusala-mūla,Kusala-mūla
kusalaṃ,kusalaṃ
hand in hand,lado a lado
lakkhana,Lakkhaṇa
lobha,Lobha
Lobha,Lobha
loka,Loka
Loka,Loka
lokaṃ,lokaṃ
loke,loke
lokiya,Lokiya
Lokiya,Lokiya
loko,loko
lokuttara,Lokuttara
Lokuttara,Lokuttara
lokuttara citta,Lokuttara Citta
macchariya,Macchariya
Macchariya,Macchariya
Mada,Mada
magadhi,Magadhi
Magadhi,Magadhi
magga,Magga
Magga,Magga
magga citta,Magga Citta
Magga Phala,Magga Phala
magga sacca,Magga Sacca
Mahā,Mahā
Mahābhūta,Mahābhūta
majjhima paṭipada,Majjhima Paṭipada
Majjhima Patipada,Majjhima Paṭipadā
maṃ,maṃ
mana,Mana
Mana,Mana
māna,Māna
Māna,Māna
mana indriya,Mana Indriya
māna kilesa,Māna Kilesa
manas,Manas
manasā,manasā
manasikāra,Manasikāra
Manasikāra,Manasikāra
mano,Mano
mano dvāra,Mano Dvāra
mano viññāṇa,Mano Viññāṇa
manussa,Manussa
Manussa,Manussa
manussā,manussā
māra,Māra
Māra,Māra
Marana,Maraṇa
maraṇa,Maraṇa
Māya,Māya
Metta,Mettā
mettā,Mettā
Mettā,Mettā
mettā pāramī,Mettā Pāramī
micchā,Micchā
Micchā,Micchā
micchā ājīva,Micchā Ājīva
micchā diṭṭhi,Micchā Diṭṭhi
micchā samādhi,Micchā Samādhi
micchā saṅkappa,Micchā Saṅkappa
micchā sati,Micchā Sati
micchā vāyāma,Micchā Vāyāma
middha,Middha
Middha,Middha
miles,milhas
my gati,minha Gati
moha,Moha
Moha,Moha
mph,mph
muditā,Muditā
Muditā,Muditā
mūla,Mūla
Mūla,Mūla
Musāvāda,Musāvāda
naṃ,naṃ
nāma,Nāma
Nāma,Nāma
nāma dhamma,Nāma Dhamma
nāma-rūpa,Nāma-Rūpa
nāmarūpa,Nāmarūpa
Nāmarūpa,Nāmarūpa
nāmarūpaṃ,nāmarūpaṃ
nava sattanikāya,Nava Sattanikāya
Naya,Naya
nekkhamma,Nekkhamma
Nekkhamma,Nekkhamma
Nettipakarana,Nettipakaraṇa
nevasaññānāsaññāyatana,Nevasaññānāsaññāyatana
nibbana,Nibbāna
Nibbana,Nibbāna
nibbāna,Nibbāna
Nibbāna,Nibbāna
nibbānic,Nibbāna
Nibbānic,Nibbāna
nibbāna asaṅkhata,Nibbāna Asaṅkhata
nibbāna dhātu,Nibbāna Dhātu
nibbānaṃ,nibbānaṃ
nibbāne,nibbāne
nimitta,Nimitta
niraya,Niraya
Niraya,Niraya
nirodha,Nirodha
Nirodha,Nirodha
nirodha sacca,Nirodha Sacca
nirodha samāpatti,Nirodha Samāpatti
nirodho,nirodho
Nirutti,Nirutti
nirvana,Nirvana
Nirvana,Nirvana
nissaraṇa,Nissaraṇa
Nissaraṇa,Nissaraṇa
Nivarana,Nīvaraṇa
nīvaraṇa,Nīvaraṇa
nīvaraṇā,nīvaraṇā
the apaya,o Apāya
the sakadagami,o Sakadāgāmī
Opanayiko,Ōpanayikō
opapātika,Opapātika
orambhāgiya saṃyojana,Orambhāgiya Saṃyojana
the apayas,os Apāyā
the asavas,os Āsavā
the kilesas,os Kilesā
ottappa,Ottappa
Ottappa,Ottappa
Pabbajjā,Pabbajjā
paccaya,Paccaya
Paccaya,Paccaya
paccayā,Paccayā
Paccayā,Paccayā
paccaya dhamma,Paccaya Dhamma
Paccekabuddha,Paccekabuddha
paccuppanna bhava,Paccuppanna Bhava
Padhāna,Padhāna
pahāna,Pahāna
pali,Pālī
Pali,Pālī
pāli,Pālī
Pāli,Pālī
Pālī,Pālī
Pāmojja,Pāmojja
panāvuso,panāvuso
pañca balāni,Pañca Balāni
pañca indriyāni,Pañca Indriyāni
pañca nīvaraṇāni,Pañca Nīvaraṇāni
pañcakkhandha,Pañcakkhandha
pañcama jhāna,Pañcama Jhāna
paññā,Paññā
Paññā,Paññā
paññā pāramī,Paññā Pāramī
paññā saṃvara,Paññā Saṃvara
paññatti,Paññatti
paññāvimutti,Paññāvimutti
paññāya,paññāya
Paññindriya,Paññindriya
papañca,Papañca
Papañca,Papañca
Parāmasa,Parāmāsa
parāmāsa,Parāmāsa
Paramattha,Paramattha
paramattha dhamma,Paramattha Dhamma
paramattha paññatti,Paramattha Paññatti
paramattha sacca,Paramattha Sacca
pāramī,Pāramī
Pariccheda,Pariccheda
Parikkhāra,Parikkhāra
Parinibbāna,Parinibbāna
pariññā,Pariññā
Pariyatti,Pariyatti
Pasāda Rūpa,Pasāda Rūpa
Passaddhi,Passaddhi
pathavī dhātu,Pathavī Dhātu
Pathi,Pathi
paṭibhāga nimitta,Paṭibhāga Nimitta
paṭicca,Paṭicca
Paṭicca,Paṭicca
paṭicca samuppāda,Paṭicca Samuppāda
Paṭicca Samuppāda,Paṭicca Samuppāda
Patigha,Paṭigha
paṭigha,Paṭigha
Paṭigha,Paṭigha
paṭigha saṃyojana,Paṭigha Saṃyojana
paṭikkūla,Paṭikkūla
Paṭinissagga,Paṭinissagga
paṭipada,Paṭipada
Paṭipatti,Paṭipatti
paṭisandhi,Paṭisandhi
Paṭisandhi,Paṭisandhi
Pativedha,Paṭivedha
Paṭivedha,Paṭivedha
paṭṭhāna,Paṭṭhāna
Peta,Peta
